"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"F01","Change in Therapeutic Response","Change in response to treatment or cure of a disorder or disease.","","","","F01",,,
"F0101","Therapeutic Response Decreased","A reduction in the desirable and beneficial effects resulting from a medical treatment.","","","","F01|F0101",,,
"F0102","Therapeutic Response Increased","An increase in the desirable and beneficial effects resulting from a medical treatment.","","","","F01|F0102",,,
"F0103","Unexpected Therapeutic Effects","Unanticipated desirable and beneficial effects resulting from a medical treatment.","","","","F01|F0103",,,
"F02","Death","The cessation of life.","","","","F02",,,
"F0201","Intrauterine Fetal Death","Death in utero; failure of the product of conception to show evidence of respiration, heart beat, or definite movement of a voluntary muscle after expulsion from the uterus, with no possibility of resuscitation.","","","","F02|F0201",,,
"F03","Brain Death","The cessation of life due to permanent loss of brain function and brainstem for absence of responsiveness to external stimuli, absence of reflex and apnea.","","","","F03",,,
"F04","Delay to Diagnosis","Patient diagnosis was clinically significant delayed as a consequence of device performance.","","","","F04",,,
"F05","Delay to Treatment/ Therapy","Patient treatment was delayed as a consequence of device performance.","","","","F05",,,
"F06","Disruption of Subsequent Medical Procedure","Situation in which the use of the device impedes or affects a subsequent medical procedure or use of a medicine or device. The time elapsed between the use of the device and the medical procedure is not a factor. It is not necessary for the device to have broken or malfunctioned.","","","","F06",,,
"F07","Exacerbation of Existing Condition","Use of the device has lead to worsening of the existing disease or condition.","","","","F07",,,
"F08","Hospitalization or Prolonged Hospitalization","Hospitalization or prolonged hospitalization due to the health damage accompanying the use of device.","","","","F08",,,
"F0801","Intensive Care","Patient requires admission to or extension of stay in an intensive care unit.","","","","F08|F0801",,,
"F09","Fetal Harm","Fetal distress, congenital physical or mental impairment or birth defect, excluding fetal death.","","","","F09",,,
"F10","Inadequate/Inappropriate Treatment or Diagnostic Exposure","Patient did not receive intended treatment from a device or received inadequate treatment as a consequence of device performance. This includes inadequate/inappropriate radiation dosage during procedures.","","","","F10",,,
"F1001","Absence of Treatment","Patient treatment was absent as a consequence of device performance.","","","","F10|F1001",,,
"F1002","Incompatible Blood Transfusion","Receiving incorrect or incompatible whole blood or a blood component.","","","","F10|F1002",,,
"F1003","Missed Dose","A dose of medicine was not taken or delivered at the prescribed dosing interval.","","","","F10|F1003",,,
"F1004","Underdose","Exposure to, or intake of, an insufficient amount of a substance.","","","","F10|F1004",,,
"F100401","Radiation Underdose","A lower than intended dose of radiation to a single field.","","","","F10|F1004|F100401",,,
"F1005","Overdose","Exposure to, or intake of, an excessive amount of a substance.","","","","F10|F1005",,,
"F100501","Radiation Overdose","A higher than intended cumulative dose of radiation to a single field.","","","","F10|F1005|F100501",,,
"F11","Minor Injury/ Illness / Impairment","A mild injury, illness or impairment which can be treated with minimal or no intervention.","","","","F11",,,
"F12","Serious Injury/ Illness/ Impairment","A severe injury, illness or impairment which requires hospitalization or medical intervention.","","","","F12",,,
"F1201","Chronic Disease","Disease that persists over a long period of time, cannot be prevented by vaccines or cured by medication, nor do they just disappear.","","","","F12|F1201",,,
"F1202","Disability","Any physical or mental impairment that interferes with an individual's ability to perform desired activities.","","","","F12|F1202",,,
"F1203","Life Threatening Illness or Injury","Patient suffered an illness or injury which if not treated would be fatal.","","","","F12|F1203",,,
"F1204","Permanent Impairment","Irreversible deterioration of the state of health.","","","","F12|F1204",,,
"F1205","Temporary Impairment","Reversible deterioration of the state of health.","","","","F12|F1205",,,
"F13","Misdiagnosis/ Misclassification","An incorrect diagnosis or classification of an illness or other problem.","","","","F13",,,
"F14","Prolonged Episode of Care","Clinically significant extended treatment time or procedural time. Not to be used for prolonged hospitalization or prolonged surgery.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","F14",,,
"F15","Recognised Device or Procedural Complication","Patient experiencing a complication that is well documented in association with the device or procedure.","","","","F15",,,
"F16","Reduction in Life Expectancy","Decrease in lifetime/ lifespan of an individual. Decline in the normal duration or in average life.","","","","F16",,,
"F17","Sedation","Patient required sedation or additional sedation.","","","","F17",,,
"F18","Rehabilitation","Patient requires treatment to facilitate the process of recovery from injury, illness, or disease.","","","","F18",,,
"F19","Surgical Intervention","One or more surgical procedures was required, or an existing procedure changed.","","","","F19",,,
"F1901","Additional Surgery","Surgical intervention that was not planned and needed to be performed in addition to other interventions including surgical ones.","","","","F19|F1901",,,
"F1902","Amputation","Patient required surgical removal of limb, extremities or other external body parts.","","","","F19|F1902",,,
"F1903","Device Explantation","Patient required a corrective invasive procedure to remove a device, or parts/fragments of a device.","","","","F19|F1903",,,
"F1904","Device Repositioning","Patient required a corrective invasive procedure in which a device was repositioned. This includes implantable, surgically invasive (penetration through the surface of the body) or invasive (penetration though a natural body orifice or permanent artificial opening, e.g. stoma) devices.","","","","F19|F1904",,,
"F1905","Device Revision or Replacement","Patient required a corrective invasive procedure in which a device was replaced/revised. This includes implantable, surgically invasive (penetration through the surface of the body) or invasive (penetration though a natural body orifice or permanent artificial opening, e.g. stoma) devices.","","","","F19|F1905",,,
"F1906","Modified Surgical Procedure","A change of surgical procedures from the original plan.","","","","F19|F1906",,,
"F1907","More Complex Surgery","Surgery that is more complicated, more comprehensive or more extensive than planned.","","","","F19|F1907",,,
"F1908","Prolonged surgery","Surgery that takes longer than anticipated.","","","","F19|F1908",,,
"F1909","Surgical Procedure Delayed","Surgical procedure unable to be completed when originally scheduled and put off until some time in the future.","","","","F19|F1909",,,
"F20","Serious Public Health Threat","Any event type, which results in imminent risk of death, serious injury, or serious illness to more than one individual, that requires prompt remedial action.","","","","F20",,,
"F21","Unexpected Deterioration","Unexpected clinical deterioration of patient.","","","","F21",,,
"F22","Unexpected Diagnostic Intervention","Diagnostic intervention needed to be completed that was not originally planned.","","","","F22",,,
"F2201","Biopsy","Patient required removal of tissue or fluid specimen to establish a diagnosis.","","","","F22|F2201",,,
"F2202","Endoscopic Procedure","Patient required additional or unexpected endoscopic procedure.","","","","F22|F2202",,,
"F2203","Imaging Required","Requirement for imaging that was not originally planned.","","","","F22|F2203",,,
"F2204","IVD Testing","Patient required additional or unexpected IVD testing.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","F22|F2204",,,
"F23","Unexpected Medical Intervention","Patient required an unforeseen medical intervention, excluding surgery, which was not on the original treatment plan.","","","","F23",,,
"F2301","Additional Device Required","Use of an additional or alternative device require to achieve optimal outcome.","","","","F23|F2301",,,
"F2302","Blood Transfusion","Patient required an infusion of whole blood or a blood component directly into the bloodstream.","","","","F23|F2302",,,
"F2303","Medication Required","Patient required additional medication or additional dose of existing medication.","","","","F23|F2303",,,
"F2304","Prophylactic Treatment","A medication or course of action used to prevent a possible disease or condition from occurring.","","","","F23|F2304",,,
"F2305","Radiation Therapy","Patient required additional radiation therapy.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","F23|F2305",,,
"F2306","Resuscitation","Patient required resuscitation.","","","","F23|F2306",,,
"F24","Insufficient Information","There is not yet enough information available to classify the health impact.","","","","F24",,,
"F25","Unanticipated Adverse Device Effect","Complication occurring in the patient that had not previously been identified or expected for this device.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","F25",,,
"F26","No Health Consequences or Impact","No apparent harm occurred in relation to the adverse event.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","F26",,,
"F27","No Patient Involvement","No patient involvement when the adverse event occurred (for example happened during set-up or cleaning).","","","","F27",,,
"F28","Appropriate Term/Code Not Available","The Health Impact is not adequately described by any other term. Note: this code must not be used unless there is no other feasible code. The preferred term should be documented when submitting an adverse event report. This information will be used to determine if a new term should be added to the code table.","","","","F28",,,
"D01","Cause Traced to Device Design","Problems traced to the design specifications (e.g. in the requirements, testing processes, hazard analysis, implementation strategy).","","","","D01",,,
"D0101","Design Inadequate for Purpose","Problems traced to design/design features of the device that do not support or interfere with the intended purpose of the device.","","","","D01|D0101",,,
"D0102","Human Factors Engineering - Device Difficult to Operate","Problems traced to inappropriate and/or inadequate assessment and engineering design of the device to accommodate how or where the device will be used.","","","","D01|D0102",,,
"D0103","Human Factors Engineering - Device Difficult to Assemble","Problems traced to inadequate design of the component parts and/or assembly steps resulting in the device not being able to be assembled correctly.","","","","D01|D0103",,,
"D0104","Human Factors Engineering - Device Difficult to Reprocess","Problems traced to inadequate design of the reprocessing steps and/or the device resulting in the device remaining unclean.","","","","D01|D0104",,,
"D0105","Missing or Inadequate Safety Measures","Problems traced to inadequate design or complete lack of safety measures leading to device malfunction or unintended properties of the device including possible hazards for persons using the device.","","","","D01|D0105",,,
"D0106","Design Change Validation Inadequate","Problems traced to inadequate or lack of validation of design changes of the device leading to malfunction or unintended properties of the device including possible hazards for persons using the device.","","","","D01|D0106",,,
"D0107","Inadequate Cybersecurity","Problems traced to inadequate protection of computers, servers, mobile devices, electronic systems, networks, programs, and data from malicious attacks, damage, or unauthorized access.","","New","New term/definition added on 21 January 2021. for details, refer to comment No. 26 of the Change Log.","D01|D0107",,,
"D0108","Inadequate Software Design.","Cause traced to inadequate or inappropriate design of the software component of a medical device, or Software as a Medical Device.","","New","New term/definition added on 21 January 2021. for details, refer to comment No. 27 of the Change Log.","D01|D0108",,,
"D02","Cause Traced to Component Failure","Expected or random component failure without any design or manufacturing issue.","","","","D02",,,
"D03","Cause Traced to Manufacturing","A defect in the processes or systems used in the manufacture of the device. Examples include problems within the change control, production, or quality control processes.","","","","D03",,,
"D0301","Manufacturing Deficiency","Problems traced to manufacturing process.","","","","D03|D0301",,,
"D0302","Quality Control Deficiency","Problems traced to the failure to maintain or establish techniques for controlling and verifying the product specifications (including materials used) identified by the manufacturer himself.","","","","D03|D0302",,,
"D04","Cause Traced to Transport/Storage","Problems traced to the inappropriate transport or storage of the device.","","","","D04",,,
"D05","Cause Traced to Infrastructure","Problems traced to underlying framework, systems, and processes at the healthcare facility or other point of use (e.g. as building power supply, network, oxygen systems).","","","","D05",,,
"D06","Cause Traced to Environment","Problems caused by exposure to environmental conditions outside the expected range.","","","","D06",,,
"D07","Cause Traced to Maintenance","Problems traced to improper routine or preventative maintenance.","","","","D07",,,
"D08","Cause Traced to Training","Problems caused by inadequate training.","","","","D08",,,
"D09","Cause Traced to Labeling","Problems that occur as the result of problems with the labeling (including package inserts, instruction manuals, instructions for use).","","","","D09",,,
"D10","Cause Traced to Non-Device Related Factors","The adverse event that occurred is confirmed to have been caused by something other than the device or usage.","","Modified (technical)","The term and definition were modified on 21 January 2021. (Old term/definition: Cause Cannot be Traced to Device/The adverse event that occurred is not attributable to a device.). For details, refer to comment No. 28 of the Change Log.","D10",,,
"D1001","Adverse Event Related to Patient Condition","An existing condition or disease is demonstrably responsible for the adverse event and use of the device has neither caused nor otherwise influenced this condition/disease-related adverse event.","","","","D10|D1001",,,
"D1002","Adverse Event Related to Procedure","The adverse event occurred during the procedure and the device had no influence on event.","","","","D10|D1002",,,
"D1003","Adverse Event Related to Commutability","The adverse event occurred because the material being used to calibrate or assess IVD performance did not have similar properties to those of human samples, leading to inappropriate bias and erroneous results. Examples of materials include: reference materials, calibrators, proficiency testing samples.","","","","D10|D1003",,,
"D11","Cause Traced to User","The adverse event caused partially or wholly by the user of the device including sample handling.","","","","D11",,,
"D1101","Failure To Follow Instructions","Problems traced to the user not following the manufacturer's instructions.","","","","D11|D1101",,,
"D1102","Unintended Use Error Caused or Contributed to Event","The interaction between the user and device, or sample, caused or contributed to the error. This includes unintended inappropriate use of the device and incorrect sample preparation.","","","","D11|D1102",,,
"D1103","Cause Traced to Intentional Off-Label, Unapproved, or Contraindicated Use","Problems traced to the intentional use of the device in an unapproved procedure, for an unapproved patient, or for which it is contraindicated, or not listed on the label.","","","","D11|D1103",,,
"D1104","Shelf Life/Expiration Date Exceeded","A device that has exceeded the period of time/date recommended by the manufacturer for storing the device without a degradation in quality.","","","","D11|D1104",,,
"D1105","End of Life Problem Identified","Problems traced to the device reaching the end of its useful life.","","","","D11|D1105",,,
"D1106","Reuse of Single Use Device","Problems traced to the use of the device more than once when it is designed for only one use.","","","","D11|D1106",,,
"D1107","Sabotage or Intentional Misuse","Problems occurred because of willful damage or reckless misuse. This term indicates that there was an apparent intent to cause damage or injury.","","Modified (editorial)","Editorial change to the definition on 16 February 2021.","D11|D1107",,,
"D12","Known Inherent Risk of Device","Reported adverse event known and documented in the labeling and all reasonable mitigation steps have been taken (including both short or long term known complications or adverse reactions).","","Modified (technical)","The definition was modified on 21 January 2021 (addition of phrase ""and all reasonable mitigation steps have been taken.""). For details, refer to comment No. 31 of the Change Log.","D12",,,
"D13","Falsified Device","Devices that deliberately and/or fraudulently misrepresent their identity, composition or source.","","","","D13",,,
"D14","No Problem Detected","The device complaint or problem cannot be confirmed.","","","","D14",,,
"D15","Cause Not Established","The investigation findings do not lead to a clear conclusion about the cause of the reported adverse event.","","","","D15",,,
